size                 user_time            descriptors          nonterminal_nodes    intermediate_nodes     terminal_nodes  packed_nodes    ambiguities
480                  79069                2876428              115440               114960                 480             55181280        228962         
480                  78653                2876428              115440               114960                 480             55181280        228962         
480                  78474                2876428              115440               114960                 480             55181280        228962         
480                  78427                2876428              115440               114960                 480             55181280        228962         
480                  78818                2876428              115440               114960                 480             55181280        228962         
480                  78790                2876428              115440               114960                 480             55181280        228962         
480                  78939                2876428              115440               114960                 480             55181280        228962         
480                  79197                2876428              115440               114960                 480             55181280        228962         
490                  84087                2997603              120295               119805                 490             58704940        238632         
490                  83863                2997603              120295               119805                 490             58704940        238632         
490                  84405                2997603              120295               119805                 490             58704940        238632         
490                  84403                2997603              120295               119805                 490             58704940        238632         
490                  83987                2997603              120295               119805                 490             58704940        238632         
490                  83879                2997603              120295               119805                 490             58704940        238632         
490                  84590                2997603              120295               119805                 490             58704940        238632         
490                  84544                2997603              120295               119805                 490             58704940        238632         
490                  84078                2997603              120295               119805                 490             58704940        238632         
490                  83965                2997603              120295               119805                 490             58704940        238632         
500                  89311                3121278              125250               124750                 500             62375500        248502         
500                  89903                3121278              125250               124750                 500             62375500        248502         
500                  89442                3121278              125250               124750                 500             62375500        248502         
500                  90037                3121278              125250               124750                 500             62375500        248502         
500                  90343                3121278              125250               124750                 500             62375500        248502         
500                  89797                3121278              125250               124750                 500             62375500        248502         
500                  90481                3121278              125250               124750                 500             62375500        248502         
500                  89845                3121278              125250               124750                 500             62375500        248502         
500                  89817                3121278              125250               124750                 500             62375500        248502         
500                  89710                3121278              125250               124750                 500             62375500        248502         
